DATE,NGMP35380
1/1/01,45961326000
1/1/02,47063270000
1/1/03,52201721000
1/1/04,56497847000
1/1/05,63828119000
1/1/06,63710587000
1/1/07,69039592000
1/1/08,74295068000
1/1/09,69522753000
1/1/10,80419445000
1/1/11,69566079000
1/1/12,71621135000
1/1/13,69412512000
1/1/14,72838834000
1/1/15,73746357000
1/1/16,71078892000
1/1/17,74561036000
1/1/18,80287397000
